Individual,Species,dentary,dentary,dentary,dentary,dentary,dentary,scapula,scapula,scapula,scapula,scapula,scapula,scapula,humerus,humerus,humerus,humerus,humerus,femur,femur,femur,femur,Tibia,Calcaneus,Calcaneus,Calcaneus,Calcaneus,Calcaneus,
Aepyprymnus_rufescens_M32283,Aepyprymnus_rufescens,3.878163179,6.291354695,32.04365157,3.895816318,9.902174134,9.773551523,16.05030083,34.6172266,6.754707692,7.704542968,5.390018918,136.6580716,61.9141421,7.345252525,9.683276826,6.11842404,5.669828133,131.878567,12.80148742,2.925633089,25.34140101,102.5092061,,,,,,,
Aepyprymnus_rufescens_MSU-MR4680,Aepyprymnus_rufescens,,,,,,,,,,,,,,,,,,,15.19594107,3.168783432,28.6532939,103.053071,,24.03038122,11.55452253,13.09128808,7.115127606,12.84718807,
Bettongia_penicillata_FMNH-129431,Bettongia_penicillata,3.116387491,5.118350005,2.402323025,2.822828884,9.289239718,7.413755631,9.422770698,27.53026646,5.758202051,7.184242392,4.233781628,131.5566314,102.3874976,,,,,,,,,,103.2981182,,,,,,
Bettongia_penicillata_M27628,Bettongia_penicillata,,,,,,,12.52149087,28.32710763,5.91046795,7.406415462,4.072079128,129.9788681,108.2628898,6.269822597,8.748903614,5.472284765,5.052616347,131.9055972,11.96138699,1.982907247,22.15948288,79.58308777,101.6829248,19.80585108,9.487531468,9.762271913,4.525278475,10.6257562,
Bettongia_penicillata_M27943,Bettongia_penicillata,2.869113259,5.009651174,2.782504214,2.034000772,8.470054614,7.392063472,,,,,,,,,,,,,,,,,,,,,,,
Bettongia_penicillata_NHMUK-1850.11.22.47,Bettongia_penicillata,3.128985234,5.402854133,3.085700146,3.052985403,8.853739927,6.899224784,,,,,,,,,,,,,,,,,,,,,,,
Bettongia_tropica_JM15255,Bettongia_tropica,3.20038519,4.981114258,,1.990072058,9.353110736,7.949837588,10.51955404,29.41023638,5.24821503,6.457880536,3.834628507,127.4512869,50.79777992,5.797370259,8.496651286,5.873819886,4.816762675,133.0710561,11.65754165,1.739470864,20.09921444,85.94205176,104.56,,,,,,
Bettongia_tropica_M41240,Bettongia_tropica,3.54100581,5.181625849,25.40233513,2.277804344,8.962726794,8.954371813,12.57245184,29.21095371,6.420092612,7.410450945,4.858224691,129.8851194,54.54255065,6.571889073,9.276311236,4.790140511,5.374569303,133.0620686,10.82282291,2.473566333,19.99016086,87.28560633,108.78,,,,,,
Dendrolagus_bennettianus_M11638,Dendrolagus_benettianus,5.491034193,6.830368756,30.63019396,3.833258226,12.23373358,13.68253033,,,,,,,,,,,,,,,,,,,,,,,
Dendrolagus_bennettianus_SAM-M5530,Dendrolagus_benettianus,,,,,,,37.20547945,69.92222485,15.97436976,18.88549588,11.2549852,119.295126,109.9150135,16.93450505,21.66328202,9.217708503,12.06078832,133.0018246,23.9528918,6.876504428,47.32757882,153.0173649,,36.43392481,18.93471799,24.61055181,14.33744521,16.19836884,
Dendrolagus_goodfellowi_JM18691,Dendrolagus goodfellowi,6.247213618,10.22644647,,3.778980371,14.71492979,12.81716121,34.33285454,66.12815938,13.68379537,18.80111456,11.38509619,123.2109796,68.28171827,15.47814442,21.35404308,8.615431586,13.58096121,136.387487,20.626407,7.548911111,37.93667414,140.0765958,,,,,,,
Dendrolagus_goodfellowi_M23632,Dendrolagus goodfellowi,5.892579586,8.94408137,40.72547165,3.071370749,13.9655425,14.12327944,36.57126825,63.99612272,14.00621806,19.69076831,11.19648838,117.6218763,49.04061296,15.27460542,22.50404552,10.31245465,12.41359583,140.5992517,20.80065368,6.156719928,38.93049824,137.2750387,139.04,,,,,,
Dendrolagus_goodfellowi_M9145,Dendrolagus goodfellowi,5.233507589,8.741587841,37.63570378,3.618321195,13.55820012,13.22796653,31.64544644,55.79551141,12.30537944,18.21787146,10.95132543,130.4444435,59.42707671,14.60399661,20.08795527,10.02540225,12.99307317,136.7946576,20.47721433,7.322560469,38.46341026,136.248895,136.47,,,,,,
Dendrolagus_lumholtzi_JM20106,Dendrolagus_lumholtzi,6.489343037,7.660085506,33.08613196,3.244912406,13.09452626,13.4611364,30.16107489,48.16978611,11.57858895,17.42149982,8.391701682,119.4849205,55.82455999,13.45036547,18.66411449,9.833893264,10.44881332,140.5141187,18.9737324,5.75969607,39.89772788,126.0074425,,,,,,,
Dendrolagus_lumholtzi_JM21511,Dendrolagus_lumholtzi,5.640134103,7.353980161,,3.752463997,12.96848016,14.4063205,28.2097398,47.43130223,10.98216349,16.14144345,7.758146962,112.8092225,52.86876337,13.03892189,17.42001699,10.36274129,10.41386658,132.9294689,16.59934995,4.150473885,,,,,,,,,
Dendrolagus_lumholtzi_M9108,Dendrolagus_lumholtzi,,,,,,,,,,,,,,,,,,,,,,114.93,115.65,,,,,,
Dendrolagus_lumholtzi_SAM-M7206,Dendrolagus_lumholtzi,,,,,,,,,,,,,,14.00110112,21.17129723,8.730330684,10.70751279,134.727325,20.82824566,4.663876695,41.1258358,135.7546197,,,,,,,
Dendrolagus_matschiei_J5287,Dendrolagus_matschiei,,,,,,,,,,,,,,,,,,,18.18859788,5.916659686,37.53032486,136.1565792,132.51,,,,,,
Dendrolagus_matschiei_NHMUK-1978.2989,Dendrolagus_matschiei,5.813811331,8.720692075,7.575301311,3.14973504,17.10348054,13.49659439,,,,,,,,,,,,,,,,,,,,,,,
Dorcopsis_atrata_M19461,Dorcopsis_atrata,5.51803543,7.547265712,6.25,3.629394653,12.73527476,11.69237421,39.11482696,71.32063987,12.82971883,14.65003077,12.02124017,129.8357706,63.68124404,15.63992165,22.57298292,13.06126349,12.06457019,140.0483672,18.94195791,4.631786246,,152.5,170.03,27.46974134,14.37051038,15.99605067,9.923510071,13.62883846,
Dorcopsis_luctuosa_M12659,Dorcopsis_luctuosa,,,33.04384129,,,,,,,,,,,,,,,,,,,116.13,147.3,,,,,,
Dorcopsis_luctuosa_S1863,Dorcopsis_luctuosa,4.537615805,7.129044411,38.29595862,3.763047025,10.73583897,11.09299918,,,,,,,,,,,,,,,,,,,,,,,
