Species,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25
'72',36.52707399429815,38.11704925158538,36.67524752551674,37.00022494937742,39.36846386564383,38.28756879749929,36.08985735144471,39.59219808995698,34.143278191617284,37.19160204207544,38.79061809793514,37.35102470104082,36.90081517220252,35.23227152968871,33.58485139069922,37.53522453932315,38.11274883515236,34.462910184308484,34.013397427326915,37.25306870958802,37.63175352784912,36.355453483348114,35.54603672790994,37.01510719146818,33.82679873128925
'87',36.09555957403696,35.52634859872414,36.56405394273525,36.432320685879944,37.52475686340603,36.47263196102712,33.481191075499154,36.018484320146655,32.031836228218374,35.16354354115223,37.496963638539405,34.97840744705806,36.22045575776302,34.40259646908118,32.00817730220158,35.46450740364035,33.71070910453505,31.468236518672732,32.991560900355495,34.27935527667856,34.75171462741592,36.4386272660716,33.787732788476625,34.75220546079845,33.25187662955294
'83',35.31756211057969,35.2923547591931,35.937247921724286,34.089355993008766,37.15441766850039,35.872314286423865,32.323308111792656,35.00938864012756,31.224290933510414,34.92699081906051,35.663150119058734,33.19037070671589,34.35452533612483,33.405607229223726,30.882163777588907,35.745584317719505,31.104881473756315,30.315080280734733,31.123918737376354,33.36850065587824,33.35289779206589,37.06552651732973,32.36972509192367,34.817314611896805,32.08525937601365
'80',35.31756211057969,35.2923547591931,35.937247921724286,34.089355993008766,37.15441766850039,35.872314286423865,32.323308111792656,35.00938864012756,31.224290933510414,34.92699081906051,35.663150119058734,33.19037070671589,34.35452533612483,33.405607229223726,30.882163777588907,35.745584317719505,31.104881473756315,30.315080280734733,31.123918737376354,33.36850065587824,33.35289779206589,37.06552651732973,32.36972509192367,34.817314611896805,32.08525937601365
'79',43.36685040175313,42.99899258611511,42.035372080920695,43.801662292246675,44.44270168737396,41.32954725515239,43.52561089122773,43.4658880002015,40.846495093858465,43.79987758598183,42.05298661742098,40.43098078641949,42.2712961937608,41.85263715394145,40.86205024595417,42.35278923873395,40.86523303112467,40.12984141662923,41.71804417419962,40.73610704613314,42.8051148842027,42.66579534776858,40.13623747168018,40.498205738274486,43.01800351527925
'94',42.57523623710319,40.83195743640707,41.243475290633846,41.66235602963708,43.47054081817667,38.42673488793793,42.73897068500026,41.162241337933715,38.418523453385745,44.50276209751285,38.85463115205044,40.29671687592206,40.028647951954106,41.07559671551654,40.05399510428648,41.25491890931,39.503116422311656,37.53335194349574,41.19191093546661,36.876888664489556,40.634159715349796,39.90628485794402,37.68541993294193,38.18566502550368,40.08446682237427
'92',38.921866704507636,34.63462596890683,37.75430376460772,39.62623116028515,34.77190006766135,36.11977953303371,35.68784076508657,33.53191668933372,36.31095118442576,38.23529186818609,33.94864186346203,36.16719520681063,33.99563497990777,36.16028560597922,35.20977060494664,37.241878362264735,37.60079823293807,34.800608842618324,35.89907479281523,32.73692438752884,39.89766510167299,34.18595102304128,35.60597863385415,35.59179411844757,37.85726216628234
'78',35.01949654552381,29.125239700288088,31.7458133444827,33.32376168189073,29.73485228550105,32.04347302788174,33.664326124644866,29.757947056251282,34.41704568674131,33.93675857689909,30.97669328395066,32.3926351184641,27.808938595390014,29.776372606360127,32.11361315908896,32.654919923125654,33.12472161962929,28.129905384340233,30.826483098903626,28.605488638423118,31.78391553462073,26.667659775770606,30.459697217118258,32.535227432678845,31.102991642525573
'98',25.92961849607995,22.476011669677916,29.282308034098232,34.38357266973563,25.28307722181615,28.334290004836344,23.371008439491714,29.048882372083426,31.305221880408894,31.49477334877752,32.78174730545496,23.25865933957344,22.006434207459446,24.910140548111286,32.441917118248895,27.697457660701406,26.63356168103778,26.48997265405638,27.835882461510078,21.599215236782367,25.180665975578282,24.16697847580286,30.728582892077725,27.31169853227101,25.651322389553084
'97',29.311484112396908,20.52109234680685,26.469442073763094,26.791283801637217,30.215768022720862,30.097312103868955,28.26185785875035,24.94667746935344,30.088098673902547,32.402600911856474,28.77413035458163,24.594205382572575,24.08852979106375,29.103431106486155,33.71568484194651,23.73419677665439,25.808251140223717,21.71686605033286,23.80337929321113,17.38030478506152,24.312315917603232,21.14978052975269,27.73166210041156,25.50529924936762,24.4962158796576
