"Species","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Hypsiprymnodon_moschatus",6.4107399,13.09777812375,11.55872973275,6.32279031525,9.3811035315,6.29349820475,6.26783966575,11.56547473375,10.20170096875,16.74810888625,7.67210521525,16.85491625625,11.12967613625,13.64005930125,12.58524536375,16.75100680625,15.87036280625,11.55872973275,11.66408814275,6.93859026575,9.24189552025,6.2750247825,12.28139482175,16.75100680625,6.5056606705
"Lagorchestes_conspicillatus",7.062402749,7.149727437,7.062402749,17.744998404,17.531383664,17.531383664,20.405311514,18.557053194,7.0767729825,18.557053194,17.531383664,7.0767729825,7.543644819,20.405311514,7.062402749,7.0767729825,17.531383664,20.405311514,20.405311514,7.4281434595,17.531383664,7.4281434595,18.557053194,7.0767729825,17.531383664
"Lagorchestes_hirsutus",20.5521434942,20.5521434942,6.4759535062,6.4262448932,15.8033630882,20.6375893902,6.4262448932,20.1418756822,6.4463960306,19.1631963342,7.4780413318,19.4025723542,19.8982860622,19.1643555022,8.5552814298,18.9934637102,6.5815718218,6.5315344362,6.4611747684,6.6458546236,19.5734641462,8.3203831144,7.0070179282,6.4319929866,21.3768927182
"Lagostrophus_fasciatus",17.0183338525,14.0824306575,6.809678875,18.0411054625,6.912195728,17.2290506725,19.8893637825,17.2290506725,19.8893637825,7.0276970875,18.0411054625,6.560825251,15.6991833475,15.0463290325,6.6337797055,15.6991833475,6.560825251,6.809678875,7.3945930225,7.0276970875,17.0183338525,19.8893637825,6.6337797055,6.5238784065,17.0183338525
"Macropus_fuliginosus",9.3091176028,10.0360281434,27.694434896,9.3292687402,29.582150196,9.6161132152,28.842846868,27.608989,28.10354354,9.5160174748,9.4845956688,9.291056314,26.45941786,26.22004184,28.842846868,9.3641986154,9.4406351492,9.5340997328,27.607829832,9.7064454234,9.5340997328,26.116249392,9.7175449472,9.4391701196,9.2795601272
"Macropus_giganteus",12.4077518428,26.689705359,12.3787286066,27.367276919,12.3375565613,12.2876214502,28.762966161,28.267252453,27.941482905,12.3692789733,12.2993382944,12.3754460556,12.4321636998,12.2555656217,12.3592034046,27.983046685,29.252885419,27.942062489,27.736928583,27.940903321,12.3754460556,29.132617825,12.445188403,27.899339541,12.4621904458
"Notamacropus_agilis",24.146367,9.97309513722222,25.6509508466667,9.982744306,25.1934008155556,10.033141725,24.5590230177778,24.8793135355556,24.1476549644444,10.0718274095556,25.6515948288889,10.1341006565556,10.6267160075556,10.0267549545556,24.4217635044444,24.3742935622222,24.2887768266667,9.98456794544444,17.6368342266667,10.2756942,10.087167865,9.99250711311111,10.2469018015556,9.92744350066667,24.8324875755556
"Notamacropus_irma",8.6868109675,19.106182765,8.4379573435,19.918237555,18.895465945,19.106182765,18.895465945,8.4379573435,11.96296314,8.4379573435,18.892568025,8.401010499,18.892568025,21.766495875,8.90482918,8.4379573435,19.918237555,8.510911798,8.401010499,18.895465945,8.4379573435,8.510911798,19.106182765,18.895465945,8.401010499
"Onychogalea_fraenata",21.06353393,18.5660947625,9.99253820175,14.75445409,9.240837192,20.95672656,9.0394934145,19.519762635,20.0325974,21.06353393,19.522660555,9.138106408,9.22236376975,9.094444064,20.95672656,19.521211595,22.393690485,21.06353393,19.626570005,9.42301468375,9.18239364875,22.393690485,19.733377375,9.05796683675,9.04667853125
"Onychogalea_unguifera",19.341817045,19.555431785,8.850259519,8.87283613,19.344714965,19.344714965,19.344714965,8.850259519,8.960160818,8.850259519,18.02556446,9.2385768405,22.215744895,19.555431785,9.3540782,9.7979584705,8.850259519,9.1360599875,8.960160818,20.367486575,20.367486575,22.215744895,19.555431785,8.8872063635,19.341817045
