"Individual","Species","dentary","dentary.1","dentary.2","dentary.3","dentary.4","dentary.5","scapula","scapula.1","scapula.2","scapula.3","scapula.4","scapula.5","scapula.6","humerus","humerus.1","humerus.2","humerus.3","humerus.4","femur","femur.1","femur.2","femur.3","Tibia","Calcaneus","Calcaneus.1","Calcaneus.2","Calcaneus.3","Calcaneus.4"
"Spilocuscus_maculatus_J16724","Spilocuscus_maculatus",5.508888609,12.62492765,2.38725858,4.597997687,13.55680294,16.20960346,13.45446504,50.79546662,10.1958988,15.00602809,8.427004015,122.5586198,50.61503111,9.704042749,13.23112981,4.625537792,8.323102134,135.702905,11.44301158,3.313405693,28.98792614,102.8655821,104.56,32.52958713,12.49990496,17.81259091,7.587187558,9.399234002
"Spilocuscus_maculatus_JM18184","Spilocuscus_maculatus",4.104189175,10.19409312,2.210134557,2.249916432,11.7419784,11.06278205,10.55011566,38.50739848,6.985934851,10.69395565,5.961199597,121.4865642,37.89536904,10.34234956,13.61008698,5.146625637,6.899925767,132.0233499,9.286325328,2.8761665,18.91144533,72.11513679,64.59,44.30507399,10.82775054,16.69102689,8.035110785,13.61294932
"Trichosurus_vulpecula_JM10017","Trichosurus_vulpecula",4.026580449,7.335170706,2.389532026,2.356936722,11.66705859,12.21641046,12.25347803,42.86905791,7.030669179,11.244309,7.030803224,125.9349811,33.52720256,9.686387847,14.86275282,6.25751364,6.992380518,132.1136668,11.5104436,2.367513617,21.14452201,87.62,87.17,32.52958713,12.49990496,17.81259091,9.213135775,9.399234002
"Trichosurus_vulpecula_JM1872","Trichosurus_vulpecula",3.739994828,5.967429011,2.408297053,2.723880298,9.879983995,10.57740878,10.86529435,42.05805717,7.599168314,11.68049076,6.228644557,125.8548418,36.81722557,9.704042749,14.10302116,6.837893751,8.331838239,134.2580808,13.23785475,1.562813915,28.98792614,87.64502027,160.26,32.52958713,7.972295169,9.66630652,5.314987956,10.6257562
"Trichosurus_vulpecula_JM8567","Trichosurus_vulpecula",4.16468952,6.778379659,1.813370588,2.762869828,9.376770314,9.945692928,10.38230791,40.78557125,7.763618324,12.38325867,6.351913599,125.7464092,34.39413929,10.59199135,14.62583949,6.628274783,8.458762079,131.5576551,10.32395416,1.452874212,19.99016086,63.77195337,103.2981182,32.52958713,5.257472891,10.03450528,5.93366381,10.6257562
"Trichosurus_vulpecula_M39088","Trichosurus_vulpecula",4.305687829,10.41503369,2.63691424,3.699013878,14.57312796,15.278908,14.57858858,57.1899434,10.40921909,16.96262689,9.410332728,134.8931383,38.95561236,13.56903445,20.13472583,8.071610879,10.5485366,142.5069455,13.74807677,2.32442544,27.82987271,108.4064897,132.646961,32.52958713,31.00688331,31.68953178,21.65217336,8.286608745
"Trichosurus_vulpecula_SAMAM20643","Trichosurus_vulpecula",2.316560384,5.009651174,12.15029379,3.417808219,7.654295442,4.770180603,18.26848481,42.76763569,5.233316934,7.184242392,5.390018918,139.6657527,52.86876337,10.55231812,13.94320986,8.182451128,8.135243785,133.4640597,12.837245,1.893631523,20.60248909,87.64502027,88.10640463,15.49249065,7.362438917,10.03450528,5.835271588,6.026149985
"Trichosurus_vulpecula_UMZC-A9.16","Trichosurus_vulpecula",4.448953639,6.179555362,23.01169769,7.374028753,13.88333379,13.49659439,18.64362777,33.79367073,5.758202051,7.667970411,5.220499577,131.5566314,36.81722557,7.448367289,10.18585381,3.104920646,7.397197401,134.2182937,16.12463982,1.909893225,25.37771774,102.8655821,98.78953762,15.49249065,9.487531468,13.51084031,5.84353515,8.286608745
"Hypsiprymnodon_moschatus_J6249","Hypsiprymnodon_moschatus",2.316560384,4.258437628,12.82235328,1.67558087,5.031426823,4.770180603,27.57869782,48.16978611,8.525873447,11.4624411,6.847232668,118.6916289,31.1377437,10.59199135,14.10302116,11.16657472,6.992380518,124.6052588,18.21221632,3.173685499,29.63530181,111.6966881,228,35.47782313,11.55452253,14.86281121,7.115127606,8.286608745
"Hypsiprymnodon_moschatus_JM6187","Hypsiprymnodon_moschatus",5.199184178,7.440675207,43.5060559,2.034000772,12.96848016,12.0593825,12.25347803,28.32710763,4.913100691,6.238077938,3.506932298,129.7770208,31.1377437,5.579976123,7.317594272,4.625537792,4.471247977,154.0158582,7.224621165,1.800080794,14.794912,59.25409932,64.59,9.484753189,23.44724514,26.44535845,16.95610184,13.61294932
